device-id,timestamp,timestamp-ms,type,value
0034C8DF,2019-10-21T09:42:44Z,1571650964000,CO2,742
0034C8DF,2019-10-21T09:42:44Z,1571650964000,humidity,46
0034C8DF,2019-10-21T09:42:44Z,1571650964000,temperature,23.7
0034C8DF,2019-10-21T10:03:36Z,1571652216000,CO2,709
0034C8DF,2019-10-21T10:03:36Z,1571652216000,humidity,46
0034C8DF,2019-10-21T10:03:36Z,1571652216000,temperature,23.7
0034C8DF,2019-10-21T10:24:31Z,1571653471000,CO2,746
0034C8DF,2019-10-21T10:24:31Z,1571653471000,humidity,46
0034C8DF,2019-10-21T10:24:31Z,1571653471000,temperature,23.8
0034C8DF,2019-10-21T10:45:20Z,1571654720000,CO2,768
0034C8DF,2019-10-21T10:45:20Z,1571654720000,humidity,46
0034C8DF,2019-10-21T10:45:20Z,1571654720000,temperature,23.9
0034C8DF,2019-10-21T11:06:12Z,1571655972000,CO2,759
0034C8DF,2019-10-21T11:06:12Z,1571655972000,humidity,46
0034C8DF,2019-10-21T11:06:12Z,1571655972000,temperature,24
0034C8DF,2019-10-21T11:27:04Z,1571657224000,CO2,740
0034C8DF,2019-10-21T11:27:04Z,1571657224000,humidity,46
0034C8DF,2019-10-21T11:27:04Z,1571657224000,temperature,24
0034C8DF,2019-10-21T11:47:56Z,1571658476000,CO2,748
0034C8DF,2019-10-21T11:47:56Z,1571658476000,humidity,46
0034C8DF,2019-10-21T11:47:56Z,1571658476000,temperature,24.1
0034C8DF,2019-10-21T12:08:49Z,1571659729000,CO2,770
0034C8DF,2019-10-21T12:08:49Z,1571659729000,humidity,47
0034C8DF,2019-10-21T12:08:49Z,1571659729000,temperature,24.3
0034C8DF,2019-10-21T12:29:41Z,1571660981000,CO2,746
0034C8DF,2019-10-21T12:29:41Z,1571660981000,humidity,48
0034C8DF,2019-10-21T12:29:41Z,1571660981000,temperature,25.5
0034C8DF,2019-10-21T12:50:34Z,1571662234000,CO2,779
0034C8DF,2019-10-21T12:50:34Z,1571662234000,humidity,47
0034C8DF,2019-10-21T12:50:34Z,1571662234000,temperature,25.6
0034C8DF,2019-10-21T13:11:26Z,1571663486000,CO2,721
0034C8DF,2019-10-21T13:11:26Z,1571663486000,humidity,47
0034C8DF,2019-10-21T13:11:26Z,1571663486000,temperature,25.3
0034C8DF,2019-10-21T13:32:18Z,1571664738000,CO2,725
0034C8DF,2019-10-21T13:32:18Z,1571664738000,humidity,47
0034C8DF,2019-10-21T13:32:18Z,1571664738000,temperature,25.1
0034C8DF,2019-10-21T13:53:08Z,1571665988000,CO2,687
0034C8DF,2019-10-21T13:53:08Z,1571665988000,humidity,47
0034C8DF,2019-10-21T13:53:08Z,1571665988000,temperature,25
0034C8DF,2019-10-21T14:14:00Z,1571667240000,CO2,703
0034C8DF,2019-10-21T14:14:00Z,1571667240000,humidity,47
0034C8DF,2019-10-21T14:14:00Z,1571667240000,temperature,24.9
0034C8DF,2019-10-21T14:34:52Z,1571668492000,CO2,723
0034C8DF,2019-10-21T14:34:52Z,1571668492000,humidity,47
0034C8DF,2019-10-21T14:34:52Z,1571668492000,temperature,24.8
0034C8DF,2019-10-21T14:55:44Z,1571669744000,CO2,698
0034C8DF,2019-10-21T14:55:44Z,1571669744000,humidity,47
0034C8DF,2019-10-21T14:55:44Z,1571669744000,temperature,24.7
0034C8DF,2019-10-21T15:16:38Z,1571670998000,CO2,687
0034C8DF,2019-10-21T15:16:38Z,1571670998000,humidity,46
0034C8DF,2019-10-21T15:16:38Z,1571670998000,temperature,24.6
0034C8DF,2019-10-21T15:37:29Z,1571672249000,CO2,635
0034C8DF,2019-10-21T15:37:29Z,1571672249000,humidity,46
0034C8DF,2019-10-21T15:37:29Z,1571672249000,temperature,24.4
0034C8DF,2019-10-21T15:58:21Z,1571673501000,CO2,600
0034C8DF,2019-10-21T15:58:21Z,1571673501000,humidity,46
0034C8DF,2019-10-21T15:58:21Z,1571673501000,temperature,24.3
0034C8DF,2019-10-21T16:00:40Z,1571673640000,CO2,592
0034C8DF,2019-10-21T16:00:40Z,1571673640000,humidity,46
0034C8DF,2019-10-21T16:00:40Z,1571673640000,temperature,24.4
0034C8DF,2019-10-21T16:21:33Z,1571674893000,CO2,556
0034C8DF,2019-10-21T16:21:33Z,1571674893000,humidity,46
0034C8DF,2019-10-21T16:21:33Z,1571674893000,temperature,24.2
0034C8DF,2019-10-21T16:42:25Z,1571676145000,CO2,538
0034C8DF,2019-10-21T16:42:25Z,1571676145000,humidity,47
0034C8DF,2019-10-21T16:42:25Z,1571676145000,temperature,24.1
0034C8DF,2019-10-21T17:03:17Z,1571677397000,CO2,530
0034C8DF,2019-10-21T17:03:17Z,1571677397000,humidity,46
0034C8DF,2019-10-21T17:03:17Z,1571677397000,temperature,24
0034C8DF,2019-10-21T17:24:09Z,1571678649000,CO2,522
0034C8DF,2019-10-21T17:24:09Z,1571678649000,humidity,47
0034C8DF,2019-10-21T17:24:09Z,1571678649000,temperature,23.9
0034C8DF,2019-10-21T17:45:02Z,1571679902000,CO2,509
0034C8DF,2019-10-21T17:45:02Z,1571679902000,humidity,47
0034C8DF,2019-10-21T17:45:02Z,1571679902000,temperature,23.9
0034C8DF,2019-10-21T18:05:53Z,1571681153000,CO2,476
0034C8DF,2019-10-21T18:05:53Z,1571681153000,humidity,47
0034C8DF,2019-10-21T18:05:53Z,1571681153000,temperature,23.8
0034C8DF,2019-10-21T18:26:45Z,1571682405000,CO2,487
0034C8DF,2019-10-21T18:26:45Z,1571682405000,humidity,47
0034C8DF,2019-10-21T18:26:45Z,1571682405000,temperature,23.7
0034C8DF,2019-10-21T18:47:38Z,1571683658000,CO2,492
0034C8DF,2019-10-21T18:47:38Z,1571683658000,humidity,47
0034C8DF,2019-10-21T18:47:38Z,1571683658000,temperature,23.7
0034C8DF,2019-10-21T19:08:32Z,1571684912000,CO2,483
0034C8DF,2019-10-21T19:08:32Z,1571684912000,humidity,47
0034C8DF,2019-10-21T19:08:32Z,1571684912000,temperature,23.7
0034C8DF,2019-10-21T19:29:23Z,1571686163000,CO2,479
0034C8DF,2019-10-21T19:29:23Z,1571686163000,humidity,47
0034C8DF,2019-10-21T19:29:23Z,1571686163000,temperature,23.6
0034C8DF,2019-10-21T19:50:15Z,1571687415000,CO2,476
0034C8DF,2019-10-21T19:50:15Z,1571687415000,humidity,47
0034C8DF,2019-10-21T19:50:15Z,1571687415000,temperature,23.5
0034C8DF,2019-10-21T20:11:07Z,1571688667000,CO2,485
0034C8DF,2019-10-21T20:11:07Z,1571688667000,humidity,47
0034C8DF,2019-10-21T20:11:07Z,1571688667000,temperature,23.5
0034C8DF,2019-10-21T20:31:59Z,1571689919000,CO2,471
0034C8DF,2019-10-21T20:31:59Z,1571689919000,humidity,47
0034C8DF,2019-10-21T20:31:59Z,1571689919000,temperature,23.4
0034C8DF,2019-10-21T20:52:50Z,1571691170000,CO2,485
0034C8DF,2019-10-21T20:52:50Z,1571691170000,humidity,47
0034C8DF,2019-10-21T20:52:50Z,1571691170000,temperature,23.4
0034C8DF,2019-10-21T21:13:42Z,1571692422000,CO2,475
0034C8DF,2019-10-21T21:13:42Z,1571692422000,humidity,47
0034C8DF,2019-10-21T21:13:42Z,1571692422000,temperature,23.4
0034C8DF,2019-10-21T21:34:35Z,1571693675000,CO2,471
0034C8DF,2019-10-21T21:34:35Z,1571693675000,humidity,47
